Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked
No,3,108,male,22.0,1,0,A/5 21171,7.25,S
Yes,1,190,female,38.0,1,0,PC 17599,71.2833,C
Yes,3,353,female,26.0,0,0,STON/O2. 3101282,7.925,S
Yes,1,272,female,35.0,1,0,113803,53.1,S
No,3,15,male,35.0,0,0,373450,8.05,S
No,3,553,male,28.0,0,0,330877,8.4583,Q
No,1,514,male,54.0,0,0,17463,51.8625,S
No,3,623,male,2.0,3,1,349909,21.075,S
Yes,3,411,female,27.0,0,2,347742,11.1333,S
Yes,2,575,female,14.0,1,0,237736,30.0708,C
Yes,3,726,female,4.0,1,1,PP 9549,16.7,S
Yes,1,95,female,58.0,0,0,113783,26.55,S
No,3,728,male,20.0,0,0,A/5. 2151,8.05,S
No,3,28,male,39.0,1,5,347082,31.275,S
No,3,838,female,14.0,0,0,350406,7.8542,S
Yes,2,359,female,55.0,0,0,248706,16.0,S
No,3,681,male,2.0,4,1,382652,29.125,Q
Yes,2,865,male,28.0,0,0,244373,13.0,S
No,3,837,female,31.0,1,0,345763,18.0,S
Yes,3,511,female,28.0,0,0,2649,7.225,C
No,2,273,male,35.0,0,0,239865,26.0,S
Yes,2,80,male,34.0,0,0,248698,13.0,S
Yes,3,522,female,15.0,0,0,330923,8.0292,Q
Yes,1,764,male,28.0,0,0,113788,35.5,S
No,3,625,female,8.0,3,1,349909,21.075,S
Yes,3,44,female,38.0,1,5,347077,31.3875,S
No,3,240,male,28.0,0,0,2631,7.225,C
No,1,260,male,19.0,3,2,19950,263.0,S
Yes,3,604,female,28.0,0,0,330959,7.8792,Q
No,3,811,male,28.0,0,0,349216,7.8958,S
No,1,826,male,40.0,0,0,PC 17601,27.7208,C
Yes,1,775,female,28.0,1,0,PC 17569,146.5208,C
Yes,3,289,female,28.0,0,0,335677,7.75,Q
No,2,854,male,66.0,0,0,C.A. 24579,10.5,S
No,1,534,male,28.0,1,0,PC 17604,82.1708,C
No,1,372,male,42.0,1,0,113789,52.0,S
Yes,3,504,male,28.0,0,0,2677,7.2292,C
No,3,134,male,21.0,0,0,A./5. 2152,8.05,S
No,3,835,female,18.0,2,0,345764,18.0,S
Yes,3,588,female,14.0,1,0,2651,11.2417,C
No,3,7,female,40.0,1,0,7546,9.475,S
No,2,825,female,27.0,1,0,11668,21.0,S
No,3,445,male,28.0,0,0,349253,7.8958,C
Yes,2,455,female,3.0,1,2,SC/Paris 2123,41.5792,C
Yes,3,212,female,19.0,0,0,330958,7.8792,Q
No,3,696,male,28.0,0,0,S.C./A.4. 23567,8.05,S
No,3,472,male,28.0,1,0,370371,15.5,Q
Yes,3,603,female,28.0,0,0,14311,7.75,Q
No,3,725,male,28.0,2,0,2662,21.6792,C
No,3,38,female,18.0,1,0,349237,17.8,S
No,3,628,male,7.0,4,1,3101295,39.6875,S
No,3,593,male,21.0,0,0,A/4. 39886,7.8,S
Yes,1,333,female,49.0,1,0,PC 17572,76.7292,C
Yes,2,246,female,29.0,1,0,2926,26.0,S
No,1,619,male,65.0,0,1,113509,61.9792,C
Yes,1,871,male,28.0,0,0,19947,35.5,S
Yes,2,706,female,21.0,0,0,C.A. 31026,10.5,S
No,3,594,male,28.5,0,0,2697,7.2292,C
Yes,2,851,female,5.0,1,2,C.A. 34651,27.75,S
No,3,299,male,11.0,5,2,CA 2144,46.9,S
No,3,748,male,22.0,0,0,2669,7.2292,C
No,1,337,male,45.0,1,0,36973,83.475,S
No,3,754,male,4.0,3,2,347088,27.9,S
No,1,783,male,28.0,0,0,PC 17605,27.7208,C
Yes,3,559,male,28.0,1,1,2661,15.2458,C
Yes,2,595,female,29.0,0,0,C.A. 29395,10.5,S
No,3,185,male,19.0,0,0,S.P. 3464,8.1583,S
Yes,3,25,female,17.0,4,2,3101281,7.925,S
No,3,439,male,26.0,2,0,315151,8.6625,S
No,2,395,male,32.0,0,0,C.A. 33111,10.5,S
No,3,300,female,16.0,5,2,CA 2144,46.9,S
No,2,376,male,21.0,0,0,S.O.C. 14879,73.5,S
No,3,161,male,26.0,1,0,2680,14.4542,C
Yes,3,87,male,32.0,0,0,1601,56.4958,S
No,3,545,male,25.0,0,0,348123,7.65,S
No,3,777,male,28.0,0,0,349208,7.8958,S
No,3,562,male,28.0,0,0,374746,8.05,S
Yes,2,127,male,0.83,0,2,248738,29.0,S
Yes,3,223,female,30.0,0,0,364516,12.475,S
No,3,840,male,22.0,0,0,345767,9.0,S
Yes,3,736,male,29.0,0,0,345779,9.5,S
Yes,3,518,female,28.0,0,0,330932,7.7875,Q
No,1,141,male,28.0,0,0,113059,47.1,S
Yes,2,385,female,17.0,0,0,SO/C 14885,10.5,S
Yes,3,52,female,33.0,3,0,3101278,15.85,S
No,3,255,male,16.0,1,3,W./C. 6608,34.375,S
No,3,763,male,28.0,0,0,SOTON/OQ 392086,8.05,S
Yes,1,259,female,23.0,3,2,19950,263.0,S
No,3,149,male,24.0,0,0,343275,8.05,S
No,3,159,male,29.0,0,0,343276,8.05,S
No,3,31,male,20.0,0,0,347466,7.8542,S
No,1,150,male,46.0,1,0,W.E.P. 5734,61.175,S
No,3,209,male,26.0,1,2,C.A. 2315,20.575,S
No,3,184,male,59.0,0,0,364500,7.25,S
No,3,739,male,28.0,0,0,374910,8.05,S
No,1,292,male,71.0,0,0,PC 17754,34.6542,C
Yes,1,308,male,23.0,0,1,PC 17759,63.3583,C
Yes,2,219,female,34.0,0,1,231919,23.0,S
No,2,421,male,34.0,1,0,244367,26.0,S
No,3,655,female,28.0,0,0,349245,7.8958,S
No,3,657,male,28.0,0,0,349215,7.8958,S
No,1,856,male,21.0,0,1,35281,77.2875,S
No,3,404,male,33.0,0,0,7540,8.6542,S
No,3,312,male,37.0,2,0,3101276,7.925,S
No,3,541,male,28.0,0,0,349207,7.8958,S
Yes,3,723,female,21.0,0,0,343120,7.65,S
Yes,3,558,male,28.0,0,0,312991,7.775,S
No,3,674,male,38.0,0,0,349249,7.8958,S
Yes,3,551,female,28.0,1,0,371110,24.15,Q
No,1,666,male,47.0,0,0,110465,52.0,S
No,3,880,female,14.5,1,0,2665,14.4542,C
No,3,67,male,22.0,0,0,324669,8.05,S
No,3,416,female,20.0,1,0,4136,9.825,S
No,3,46,female,17.0,0,0,2627,14.4583,C
No,3,644,male,21.0,0,0,STON/O 2. 3101294,7.925,S
No,3,178,male,70.5,0,0,370369,7.75,Q
No,2,824,male,29.0,1,0,11668,21.0,S
No,1,70,male,24.0,0,1,PC 17558,247.5208,C
No,3,24,female,2.0,4,2,347082,31.275,S
No,2,362,male,21.0,2,0,S.O.C. 14879,73.5,S
No,3,550,male,28.0,0,0,A4. 54510,8.05,S
No,2,574,male,32.5,1,0,237736,30.0708,C
Yes,2,846,female,32.5,0,0,27267,13.0,S
No,1,855,male,54.0,0,1,35281,77.2875,S
Yes,3,587,male,12.0,1,0,2651,11.2417,C
No,3,524,male,28.0,0,0,370372,7.75,Q
Yes,3,498,male,24.0,0,0,C 17369,7.1417,S
Yes,3,652,female,28.0,1,1,2668,22.3583,C
No,3,234,male,45.0,0,0,347061,6.975,S
No,3,225,male,33.0,0,0,349241,7.8958,C
No,3,165,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,S
No,3,694,female,47.0,1,0,A/5. 3337,14.5,S
Yes,2,849,female,29.0,1,0,228414,26.0,S
No,2,771,male,25.0,0,0,C.A. 29178,13.0,S
No,2,684,male,23.0,0,0,SC/PARIS 2133,15.0458,C
Yes,1,584,female,19.0,0,2,11752,26.2833,S
No,1,271,male,37.0,1,0,113803,53.1,S
No,3,617,male,16.0,0,0,7534,9.2167,S
No,1,282,male,24.0,0,0,PC 17593,79.2,C
No,3,99,female,28.0,0,2,2678,15.2458,C
Yes,3,596,female,22.0,0,0,347081,7.75,S
Yes,3,319,female,24.0,1,0,STON/O2. 3101279,15.85,S
No,3,116,male,19.0,0,0,365222,6.75,Q
No,2,32,male,18.0,0,0,231945,11.5,S
No,2,585,male,19.0,1,1,C.A. 33112,36.75,S
